,FF_sup,FF_sup_magn,SI,layer,unit
0,suppresser,-0.348807755460922,0.5508813669298152,SG,0
1,suppresser,-0.38926542671875014,0.6184440051168741,SG,1
2,nonether,,0.4851405158982052,SG,2
3,nonether,,0.43269949348169073,SG,3
4,nonether,,0.7622304050499737,SG,4
5,nonether,,0.8419586363207102,SG,5
6,nonether,,0.8286276991332913,SG,6
7,nonether,,0.8776168510693204,SG,19
8,facilitator,0.702271761982042,0.8418020269332223,SG,20
9,nonether,,0.9073590543610434,SG,21
10,facilitator,1.0892971534430709,0.8345938949910731,SG,22
11,facilitator,0.598317935600521,0.8183816331430893,SG,23
12,nonether,,0.7565744510147684,SG,24
13,nonether,,0.8686898322178417,SG,25
14,nonether,,0.7402577077573165,SG,44
15,facilitator,1.6737142330365193,0.8354788818886894,SG,45
16,nonether,,0.9019318539502675,SG,46
17,nonether,,0.9131071616450226,SG,47
18,facilitator,0.7957742322345815,0.8035378409819846,SG,48
19,nonether,,0.8443796952889138,SG,49
20,facilitator,2.809478754201879,0.8962214237769969,SG,68
21,facilitator,0.8640334862885823,0.8603030664598497,SG,69
22,facilitator,0.6677362529046741,0.8974896279302226,SG,70
23,facilitator,1.2219807104791474,0.8106178347095504,SG,71
24,suppresser,-0.21305246438407435,0.7212912340688239,SG,90
25,facilitator,0.9645489389953024,0.7036691330744467,SG,91
26,facilitator,0.34307359008571453,0.541832507100176,SG,92
27,facilitator,0.6787700630848842,0.7283875123319392,SG,93
28,nonether,,0.7934588713392953,SG,94
29,nonether,,0.5046826630441882,SG,95
30,suppresser,-0.5083538464731934,0.5278541280386109,SG,96
31,facilitator,0.9255331398395195,0.7125303816814451,G,7
32,facilitator,0.42048325586175295,0.5343779518808691,G,8
33,nonether,,0.35506579619973994,G,9
34,nonether,,0.8015180979863246,G,26
35,nonether,,0.10465890548282993,G,27
36,nonether,,0.23646523220405422,G,28
37,nonether,,0.8444871328937577,G,50
38,nonether,,0.7842148135789504,G,51
39,nonether,,0.18901595786006167,G,52
40,facilitator,0.9358957223266446,0.7397432017638667,G,72
41,facilitator,0.4447146797160022,0.35527122661053756,G,73
42,nonether,,0.2124880980853148,G,74
43,suppresser,-0.6167362597323964,0.6730791838105634,G,97
44,suppresser,-0.20147737485345302,0.60756405811718,G,98
45,nonether,,0.33417276009587676,G,99
46,nonether,,0.3372414308117391,IG,10
47,nonether,,0.46599210266535057,IG,11
48,suppresser,-0.37074878554161017,0.7793452388370326,IG,12
49,nonether,,0.4219608435440936,IG,13
50,nonether,,0.24570832183687438,IG,14
51,nonether,,0.33134041307801654,IG,15
52,suppresser,-0.3414299857222684,0.2586260298581431,IG,16
53,nonether,,0.31847273452297864,IG,29
54,nonether,,0.47835323695788806,IG,30
55,facilitator,1.452854436799577,0.6209582083670833,IG,31
56,nonether,,0.19997087877139075,IG,32
57,suppresser,-0.35777654551349125,0.3727882741040636,IG,33
58,nonether,,0.4985757196218175,IG,34
59,nonether,,0.7369661231690999,IG,35
60,nonether,,0.41502501563477157,IG,53
61,nonether,,0.2778173442637856,IG,54
62,nonether,,0.4949240459429418,IG,55
63,facilitator,0.39977330943566963,0.7523435713741331,IG,56
64,nonether,,0.6183093010836046,IG,57
65,nonether,,0.3321461752864664,IG,58
66,nonether,,0.6820610776478309,IG,59
67,suppresser,-0.26086136936177345,0.22937410433455557,IG,75
68,facilitator,0.3911815746869323,0.7920446997225804,IG,76
69,facilitator,1.8619821307813602,0.749431650083306,IG,77
70,nonether,,0.2063798388012261,IG,78
71,nonether,,0.3897650444208526,IG,79
72,facilitator,0.4745747507003379,0.7286537230637934,IG,80
73,nonether,,0.5177728345741783,IG,81
74,suppresser,-0.18713111535876223,0.6381323711980136,IG,100
75,nonether,,0.8258003954542731,IG,101
76,nonether,,0.5530585760952255,IG,102
77,nonether,,0.4427717836239445,IG,103
78,suppresser,-0.2507657835421004,0.23570351758793964,IG,104
79,nonether,,0.6387736889075541,IG,105
80,nonether,,0.24259522562298882,IG,106
81,nonether,,0.35460321752061663,IG,107
